                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4968,                 4.1198,                 2.1039,                0.74916,                0.74468,                0.83416,                0.48422,                 1.3004,                 1.2223,                 1.2858,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.9414,                  1.883,                 1.5858,                0.73686,                0.61702,                0.66891,                0.29665,                 1.5002,                 2.5009,                 1.3338,             0.00061386,             0.00061386,             0.00061386
                      3,                 1.6961,                 1.4858,                 1.3541,                0.79586,                0.66367,                0.79583,                 0.4918,                 1.2452,                 2.1489,                 1.2073,             0.00092139,             0.00092139,             0.00092139
                      4,                 1.5495,                 1.2127,                 1.3088,                0.41749,                0.23404,                0.23848,                0.13109,                 2.0909,                 2.7405,                 1.5455,              0.0012226,              0.0012226,              0.0012226
                      5,                 1.4961,                 1.2052,                 1.2899,                0.30807,                0.14894,                0.15714,                0.09479,                 2.3796,                 4.6454,                  1.777,              0.0015174,              0.0015174,              0.0015174
                      6,                 1.5509,                 1.1995,                 1.2937,                0.95931,                 0.2766,                0.38395,                0.20634,                 1.7181,                 3.4494,                 1.4175,               0.001806,               0.001806,               0.001806
                      7,                 1.4178,                 1.0528,                 1.2495,                0.72761,                0.21277,                0.26717,                0.14738,                 2.0074,                 3.1138,                 1.5297,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3729,                0.89416,                 1.2032,                0.88124,                0.31592,                0.38242,                0.21694,                 1.6227,                  2.034,                 1.3632,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3031,                0.86871,                 1.1652,                0.79466,                 0.2766,                0.32005,                0.17829,                 1.9075,                 2.5726,                 1.5307,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3701,                0.90846,                 1.2453,                0.85552,                0.23404,                0.23807,                0.15318,                 2.1527,                 5.3601,                 1.5962,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2657,                0.80404,                 1.1825,                0.77685,                0.23404,                0.24154,                0.12657,                 2.1527,                 3.4818,                 1.6919,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2432,                0.76997,                  1.161,                0.74519,                0.24918,                0.29814,                0.16973,                   1.61,                 2.2413,                 1.4478,               0.001802,               0.001802,               0.001802
                     13,                 1.2525,                0.76509,                 1.1488,                0.77868,                 0.2766,                0.35853,                0.22083,                 1.4049,                 2.4273,                 1.3583,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1864,                0.74804,                 1.1358,                0.50302,                0.29787,                0.33642,                0.18851,                 1.4864,                 2.2112,                 1.3592,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1994,                0.72696,                  1.123,                0.95057,                0.19149,                0.29551,                 0.1665,                 1.5234,                 2.0719,                 1.3379,              0.0017426,              0.0017426,              0.0017426
